pipe_angle_deg,rs00_encoder_rad,rs00_encoder_deg,geometric_motor_offset_rad
-6,2.715401556,155.581049,-0.994901556
-5,2.485093605,142.385375,-0.764593605
-4,2.308712365,132.279475,-0.588212365
-3,2.152955984,123.355291,-0.432455984
-2,2.006723345,114.976778,-0.286223345
-1,1.864025511,106.800795,-0.143525511
0,1.720500000,98.577389,0.000000000
1,1.572083653,90.073758,0.148416347
2,1.414147171,81.024664,0.306352829
3,1.240514538,71.076247,0.479985462
4,1.041806604,59.691121,0.678693396
5,0.801802978,45.939927,0.918697022
6,0.486837414,27.893729,1.233662586
