trial,initial_position_mm,peak_error_mm,rms_error_mm,time_over_10mm_s
0,-3.7555089102268426,3.7555649652732983,0.7157016114888276,0.0
1,-3.9651550436330067,3.965211098679462,0.6272887675586671,0.0
2,1.410577526409824,1.5183824482210464,0.5925128079380099,0.0
3,-2.1756499660535193,2.175706021099975,0.5376622065363423,0.0
4,0.6314411936143699,2.252982644623373,0.6409088376054525,0.0
5,-0.6440726236827093,1.5439422345464857,0.5911690210938041,0.0
6,-2.9138830210337927,2.9139390760802484,0.6383351078103521,0.0
7,2.326790693091595,2.663613986946381,0.627789498772102,0.0
8,-1.211573068846259,1.874527384262305,0.5712755823197225,0.0
9,2.943287387019476,2.943354084177194,0.6367008465451991,0.0
10,-0.8795007493595283,2.352936232264706,0.6282503213987652,0.0
11,-2.181822472598111,2.380875321975224,0.6237420064200546,0.0
12,-0.4743302999516239,1.6520680789500413,0.55503092148773,0.0
13,-0.2186411086302316,2.2010729303478347,0.6185017776106438,0.0
14,-0.1943628274073715,2.438613803192258,0.7121458276790922,0.0
15,-0.49970828902526593,1.622621679161525,0.5720475680369795,0.0
16,-1.7352305127106489,2.5343803187712908,0.6563690486444076,0.0
17,2.150016723760439,2.150083420918157,0.5657946034197753,0.0
18,3.4152718719516377,3.415338569109356,0.6637212504751857,0.0
19,-0.6288862639725871,2.6974148901567863,0.6392104511172704,0.0
