level,trial,seed,passed,peak_error_mm,rms_error_mm,first_failure_s,failure_reason,max_beam_angle_deg,camera_delay_ms,camera_noise_mm,camera_outlier_probability,longest_camera_dropout_ms,imu_delay_ms,imu_accel_bias,state_packet_dropout_probability,actuator_time_constant_ms,actuator_command_delay_ms,actuator_gain,actuator_deadband_deg,largest_impact_impulse_mps,viscous_damping,coulomb_accel,static_friction_accel
0.0,0,20260729,True,1.381552845983196,0.3695921021681252,,none,2.2461107187381737,33.0,0.7,0.0,0.0,5.0,-0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.28,0.006,0.0
0.0,1,20270736,True,1.7852145681180913,0.35516282472357835,,none,2.4070829867691015,33.0,0.7,0.0,0.0,5.0,-0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.28,0.006,0.0
0.0,2,20280743,True,3.865723437066841,0.427675141729848,,none,2.370850344671844,33.0,0.7,0.0,0.0,5.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.28,0.006,0.0
0.0,3,20290750,True,2.495261200664429,0.3564487799747234,,none,2.083475478883223,33.0,0.7,0.0,0.0,5.0,-0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.28,0.006,0.0
0.0,4,20300757,True,2.2824506665261826,0.38701241160017547,,none,2.1488042174844977,33.0,0.7,0.0,0.0,5.0,-0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.28,0.006,0.0
0.0,5,20310764,True,0.9744672693659533,0.32700432797175916,,none,2.1578704362193895,33.0,0.7,0.0,0.0,5.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.28,0.006,0.0
0.0,6,20320771,True,2.700456231072929,0.3601682525170756,,none,2.0769890241811915,33.0,0.7,0.0,0.0,5.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.28,0.006,0.0
0.0,7,20330778,True,3.412072776090891,0.39783821137871883,,none,2.267609139876753,33.0,0.7,0.0,0.0,5.0,-0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.28,0.006,0.0
0.0,8,20340785,True,3.695825635874582,0.40037330179031916,,none,2.393487704631178,33.0,0.7,0.0,0.0,5.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.28,0.006,0.0
0.0,9,20350792,True,3.394655922842968,0.43442471397306387,,none,2.3472122014127232,33.0,0.7,0.0,0.0,5.0,-0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.28,0.006,0.0
0.0,10,20360799,True,2.133810055190538,0.37696202219348585,,none,2.328859781580883,33.0,0.7,0.0,0.0,5.0,-0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.28,0.006,0.0
0.0,11,20370806,True,1.624854994204157,0.3285011510018778,,none,2.16149834104884,33.0,0.7,0.0,0.0,5.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.28,0.006,0.0
1.0,0,20260729,True,3.0745308731116805,0.6049056947243692,,none,3.2100690076038254,42.07500716752009,1.0890363028105885,0.004,32.981541849167684,7.0,-0.0023716387944757943,0.012,37.00000000000001,4.0,0.92,0.04,0.006663228102312645,0.29598914774903484,0.009601765637001426,0.004985767983964886
1.0,1,20270736,True,1.9189431053836,0.6000202609118086,,none,2.38453208625141,39.28276988659387,1.0791733640710401,0.004,41.96911741721365,7.0,0.019256576661058646,0.012,37.00000000000001,4.0,0.92,0.04,0.0026553912481852007,0.2897692633812435,0.012051473386209877,0.006070166140042323
1.0,2,20280743,True,1.5434645477781652,0.5619730823907044,,none,2.2570523497765147,42.699812645789805,0.9767977013752488,0.004,37.626195300966,7.0,-0.018474760536611186,0.012,37.00000000000001,4.0,0.92,0.04,0.009911820124053238,0.241641646530655,0.010842497365658158,0.004004314429389385
1.0,3,20290750,True,2.172962671193426,0.5156739270572079,,none,2.8919419829352586,42.45413523038326,0.9537615087571293,0.004,33.69226976546624,7.0,0.005184768974721328,0.012,37.00000000000001,4.0,0.92,0.04,0.004931096332084359,0.32525529402169845,0.01231423187769521,0.005950117772526895
1.0,4,20300757,True,2.6258549620907647,0.7123200169119291,,none,2.847474144872174,40.00920753598001,1.049322274684936,0.004,52.173478164545095,7.0,0.008342101954887712,0.012,37.00000000000001,4.0,0.92,0.04,0.008946850175991472,0.22844154713057832,0.012085477899471673,0.005617950714839839
1.0,5,20310764,True,2.587545719498714,0.6451722509828407,,none,2.847537427401647,41.43316700753494,1.0095155887811322,0.004,57.31537457216973,7.0,0.005377605169114821,0.012,37.00000000000001,4.0,0.92,0.04,0.007316204526949642,0.20155229791547313,0.011653649765110376,0.0063666953291285945
1.0,6,20320771,True,3.8547922020318888,0.5603889901874658,,none,2.812265054257667,40.04755389410936,0.959568929530951,0.004,52.56918651263298,7.0,-0.015076383503673019,0.012,37.00000000000001,4.0,0.92,0.04,0.002883069040466907,0.3746146126607466,0.010830491034927349,0.006064895494336768
1.0,7,20330778,True,2.0415979980400505,0.5986483642430366,,none,2.94545643762851,39.57262478145873,1.034999431083926,0.004,50.48757366914991,7.0,0.005811434656828194,0.012,37.00000000000001,4.0,0.92,0.04,0.007700785584752452,0.24581698903829194,0.009686368280777076,0.01082167813515552
1.0,8,20340785,True,1.9861603111190935,0.5074300447654373,,none,2.5575911180748747,40.27067764597583,1.0461744165796067,0.004,37.478836649709635,7.0,-0.010663621083883053,0.012,37.00000000000001,4.0,0.92,0.04,0.008642564297944404,0.2491674647743815,0.013561158904079882,0.008834978493435019
1.0,9,20350792,True,3.7723814206054116,0.5517101469732835,,none,2.292028632194096,40.54640481816044,1.0090184563547906,0.004,56.42964658461569,7.0,-0.0023316462985350085,0.012,37.00000000000001,4.0,0.92,0.04,0.007104580399763245,0.31692404072862324,0.009807977496530432,0.00929552865410822
1.0,10,20360799,True,2.427895665599815,0.62508360593979,,none,3.1512432290493,42.7567331345946,1.0268611772794736,0.004,55.13233318892574,7.0,-0.002309432475401341,0.012,37.00000000000001,4.0,0.92,0.04,0.0053801219973527575,0.341090316355465,0.013737644948966447,0.0060101825983830195
1.0,11,20370806,True,2.132777702952833,0.657416800290064,,none,2.8848461633280156,40.46307952454425,1.062459338418789,0.004,52.537875393056765,7.0,-0.003265646812815346,0.012,37.00000000000001,4.0,0.92,0.04,0.009124575876008708,0.2636217729449202,0.011536183660772996,0.009570055597121764
2.0,0,20260729,True,6.482073953805517,1.0627742569726282,,none,3.1023694779521067,50.43776270258651,1.3247113767861274,0.008,79.36438544407842,9.000000000000002,0.002661843444015464,0.024,49.0,8.0,0.84,0.08,0.012401179704853249,0.4330739279572585,0.01964871436344566,0.01498500146504449
2.0,1,20270736,True,3.550162756450733,0.9729532548527573,,none,2.88897750234483,47.78127910228592,1.361011884153644,0.008,83.93823483443086,9.000000000000002,-0.00010254960833623983,0.024,49.0,8.0,0.84,0.08,0.013176580924672894,0.37886478632101395,0.01406365698260288,0.019497907735979425
2.0,2,20280743,True,4.825947901178601,1.255785015601463,,none,3.029003082885507,49.067550094749315,1.2264262632863594,0.008,75.25239060193023,9.000000000000002,-0.021492601541931125,0.024,49.0,8.0,0.84,0.08,0.01817369899944839,0.42940876827711305,0.01686100382064005,0.02084183934890831
2.0,3,20290750,True,2.694645622143211,0.8535581888523976,,none,3.148644094543289,51.668226206260194,1.4541920069012273,0.008,67.38453953093249,9.000000000000002,0.015669019565199296,0.024,49.0,8.0,0.84,0.08,0.018549151539257645,0.4482390002982408,0.021464880994606868,0.019062302088485354
2.0,4,20300757,True,2.739430699733009,0.8478031267816813,,none,2.845631681740913,46.620156726015196,1.3282488721166394,0.008,118.68720469924111,9.000000000000002,-0.027359312386409648,0.024,49.0,8.0,0.84,0.08,0.020446219862102342,0.3309971816838845,0.020299443025174037,0.013759112764417089
2.0,5,20310764,True,4.627903370164174,0.9443088256490456,,none,2.9138868218902605,47.93858770552826,1.4212231763540213,0.008,114.63074914433946,9.000000000000002,-0.039310089815345284,0.024,49.0,8.0,0.84,0.08,0.01318752575715972,0.47156411623377126,0.02064696728598057,0.010132344831413226
2.0,6,20320771,True,2.1596150560954928,0.7521387150630968,,none,2.6984722210623135,50.89301229053774,1.3341756017205904,0.008,105.13837302526596,9.000000000000002,0.03760649451588737,0.024,49.0,8.0,0.84,0.08,0.017007033254293445,0.43008779954928644,0.016066353899291584,0.022353583567334977
2.0,7,20330778,True,3.1032114071285557,0.9667963488031228,,none,3.102196777006269,47.941770813330216,1.4436885616428077,0.008,100.97514733829804,9.000000000000002,-0.01963689376075915,0.024,49.0,8.0,0.84,0.08,0.012421590049182809,0.1300276167164731,0.020363973638651736,0.01904106973699091
2.0,8,20340785,True,3.5533702193717858,1.0168737567930466,,none,3.0170514775373443,46.93357245635056,1.285061843025377,0.008,98.14570935279576,9.000000000000002,-0.01814779343360823,0.024,49.0,8.0,0.84,0.08,0.016056288929143483,0.28681374375774055,0.015045324083017996,0.020383431100207728
2.0,9,20350792,True,2.412839394347302,0.9379751506010365,,none,2.8647943100027713,46.862281293068826,1.4110809416960282,0.008,112.85929316923048,9.000000000000002,0.01196624032383255,0.024,49.0,8.0,0.84,0.08,0.01127682732991984,0.47600352125519785,0.01863130427578223,0.016612954361003344
